<ID|readonly|noverify>,ENGLISH,FRENCH,ITALIAN,GERMAN,SPANISH,RUSSIAN,POLISH,CZECH,TURKISH,CHINESE,JAPANESE,PORTUGUESE,UKRAINIAN,SERBIAN,HUNGARIAN,KOREAN,BELARUSIAN,ROMANIAN,TCHINESE,HCHINESE,VIETNAMESE,COMMENTS,MAX_CHARS
us_t95e1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,T95E1,,
us_m60,M60,M60,M60 Patton,M60,M60,M60,M60,M60 Patton,M60,M60,M60,M60,M60,M60,M60,M60,M60,M60,M60,M60,M60,,
us_m60_120s,120S,120S,120S,M60 120S,120S,120S,120S,120S,120S,120S,120S,120S,120S,120S,120S,120S,120S,120S,120S,120S,120S,,
us_m60a3_tts,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 Patton TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,M60A3 TTS,,
us_m60a1,M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 Patton AOS,M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),M60A1 (AOS),,
us_m728,M728 CEV,M728 CEV,M728 CEV,M728,M728 CEV,M728 CEV,M728 CEV,M728,M728 CEV,M728,M728戦闘工兵車,M728 CEV,M728 CEV,M728 CEV,M728 CEV,M728,M728 CEV,M728 CEV,M728,M728 CEV,M728 CEV,,
us_m1128_wolfpack,M1128 Wolfpack,M1128 Wolfpack,"M1128 ""Wolfpack""",M1128 Wolfpack,M1128 Wolfpack,M1128 Wolfpack,M1128 Wolfpack,M1128 Wolfpack,M1128 Wolfpack,M1128 (“狼\t群”\t号),M1128 ウルフパック,M1128 Wolfpack,M1128 «Wolfpack»,M1128 Wolfpack,M1128 Wolfpack,M1128 울프팩,M1128 Wolfpack,M1128 Wolfpack,M1128 (“狼\t群”\t號),M1128 Wolfpack,M1128 Wolfpack,,
us_m1128_mgs,M1128,M1128,M1128 MGS,M1128,M1128,M1128,M1128,M1128,M1128,M1128,M1128,M1128,M1128,M1128,M1128,M1128,M1128,M1128,M1128,M1128\t“史\t崔\t克”\t机\t动\t火\t炮\t系\t统,M1128,,
us_m60a2,M60A2,M60A2,M60A2,M60A2,M60A2,M60A2,M60A2,M60A2 Patton,M60A2,M60A2,M60A2,M60A2,M60A2,M60A2,M60A2,M60A2,M60A2,M60A2,M60A2,M60A2,M60A2,,
us_m60a3_slep,M60 AMBT,M60 AMBT,M60 AMBT,M60A3,M60 AMBT,M60 AMBT,M60 AMBT,M60 AMBT,M60 AMBT,M60 经\t济\t型,M60 AMBT,M60 AMBT,M60 AMBT,M60 AMBT,M60 AMBT,M60 AMBT,M60 AMBT,M60A3,M60A3 AMBT,M60A3 SLEP,M60 AMBT,,
us_m163_vulcan,M163,M163,M163 Vulcan,M163,M163,M163,M163,M163 Vulcan,M163,M163,M163,M163,M163,M163,M163,M163,M163,M163 Vulcan [AAA],M163 VADS,M163 VADS,M163,,
us_m47_patton_II,M47,M47,M47 Patton II,M47,M47,M47,M47,M47 Patton II,M47,M47,M47,M47,M47,M47,M47,M47,M47,M47,M47,M47\t“巴\t顿”,M47,,
us_m48a1_patton_III,M48A1,M48A1,M48A1 Patton III,M48A1,M48A1,M48A1,M48A1,M48A1 Patton III,M48A1,M48A1,M48A1,M48A1,M48A1,M48A1,M48A1,M48A1,M48A1,M48A1,M48A1,M48A1\t“巴\t顿”,M48A1,,
us_m4_t26,M4/T26,M4/T26,M4/T26,M4/T26,M4/T26,M4/T26,M4/T26,M4/T26,M4/T26,M4 (T26),M4/T26,M4/T26,M4/T26,M4/T26,M4/T26,M4/T26,M4/T26,M4/T26,M4/T26,M4/T26,M4/T26,,
us_m26e1_pershing,M26E1,M26E1,M26E1 Pershing,M26E1,M26E1,M26E1,M26E1,M26E1 Pershing,M26E1,M26E1,M26E1,M26E1,M26E1,M26E1,M26E1,M26E1,M26E1,M26E1,M26E1,M26E1\t“潘\t兴”,M26E1,,
us_t25,T25,T25,T25,T25,T25,T25,T25,T25,T25,T25,T25,T25,T25,T25,T25,T25,T25,T25,T25,T25 中\t型\t坦\t克,T25,,
us_m26_t99,M26 T99,M26 T99,M26 T99,M26 T99,M26 T99,M26 T99,M26 T99,M26 Pershing T99,M26 T99,M26/T99,M26 T99,M26 T99,M26 T99,M26 T99,M26 T99,M26 T99,M26 T99,M26 T99,M26/T99 火\t箭\t炮,M26\t“潘\t兴”\t/T99,M26 T99,,
us_t26e5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5,T26E5\t“潘\t兴”,T26E5,,
us_m26_pershing,M26,M26,M26 Pershing,M26,M26,M26,M26,M26 Pershing,M26,M26,M26,M26,M26,M26,M26,M26,M26,M26,M26,M26\t“潘\t兴”,M26,,
us_m26_pershing_tutorial,M26,M26,M26,M26,M26,M26,M26,M26 Pershing,M26,M26,M26,M26,M26,M26,M26,M26,M26,M26,M26,M26,M26,,
us_t26e4_superpershing,T26E1-1,T26E1-1,T26E1-1,T26E1-1,T26E1-1,T26E1-1,T26E1-1,T26E1 Super Pershing,T26E1-1,T26E1-1,T26E1-1,T26E1-1,T26E1-1,T26E1-1,T26E1-1,T26E1-1,T26E1-1,T26E1-1,T26E1-1,T26E1-1\t“超\t级\t潘\t兴”,T26E1-1,,
us_m4_sherman_calliope,Calliope,Calliope,M4 Calliope,Calliope,Calliope,Calliope,Calliope,M4 Sherman Calliope,Calliope,T34 火\t箭\t炮,カリオペ,Calliope,Calliope,Kaliopa,Calliope,칼리오페,Calliope,Calliope,"T34""\t管\t風\t琴\t""",“谢\t尔\t曼”\t-T34\t“管\t风\t琴”,Calliope,,
us_m4_sherman,M4,M4,M4 Sherman,M4,M4,M4,M4,M4 Sherman,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4\t“谢\t尔\t曼”,M4,,
us_m4_sherman_promo,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4,M4,,
us_m4a1_1942_sherman,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1 Sherman,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1\t“谢\t尔\t曼”,M4A1,,
ussr_m4a2_76w_sherman,▂M4A2,▂M4A2,▂M4A2,▂M4A2,▂M4A2,▂M4A2,▂M4A2,▂ M4A2(76)W Sherman,▂M4A2,▂\tM4A2(76)W,▂M4A2,▂M4A2,▂M4A2,▂M4A2,▂M4A2(76)W,▂M4A2,▂M4A2,▂M4A2,▂\tM4A2(76)W,▂\tM4A2(76)W\t“谢\t尔\t曼”,▂M4A2,,
us_lvt_a_4,LVT(A)(4),LVT(A)(4),LVT(A)(4),LVT(A)(4),LVT(A)(4),LVT(A)(4),LVT(A)(4),LVT(A)(4),LVT(A)(4),LVT(A)-4,LVT(A)(4),LVT(A)(4),LVT(A)(4),LVT(A)(4),LVT(A)-4,LVT(A)(4),LVT(A)(4),LVT(A)(4),LVT(A)(4),LVT(A)-4,LVT(A)(4),,
us_lvt_a_1_trb,○LVT(A)(1),○LVT(A)(1),○LVT(A)(1),○LVT(A)(1),○LVT(A)(1),○LVT(A)(1),○LVT(A)(1),○LVT(A)(1),○LVT(A)(1),○\tLVT(A)-1,○LVT(A)(1),○LVT(A)(1),○LVT(A)(1),○LVT(A)(1),○LVT(A)(1),○LVT(A)(1),○LVT(A)(1),○LVT(A)(1),○\tLVT(A)(1),○LVT(A)(1),○LVT(A)(1),,
us_lvt_a_1,LVT(A)(1),LVT(A)(1),LVT(A)(1),LVT(A)(1),LVT(A)(1),LVT(A)(1),LVT(A)(1),LVT(A)-1 Amtank,LVT(A)(1),LVT(A)-1,LVT(A)(1),LVT(A)(1),LVT(A)(1),LVT(A)(1),LVT(A)-1,LVT(A)(1),LVT(A)(1),LVT(A)(1),LVT(A)-1,LVT(A)-1,LVT(A)(1),,
us_lvt_4_zis_2,▃LVT(A)(4) (ZIS-2),▃LVT(A)(4) (ZiS-2),▃LVT(A)(4) (ZIS-2),▃LVT(A)(4) (ZIS-2),▃LVT(A)(4) ZIS-2,▃LVT(A)(4) (ZIS-2),▃LVT(A)(4) (ZIS-2),LVT(A)-4 Amtank (ZIS-2),▃LVT(A)(4) (ZIS-2),▃\tLVT(A)-4/ZiS-2,▃LVT(A)(4) ZIS-2,▃LVT(A)(4) (ZIS-2),▃LVT(A)(4) (ZIS-2),▃LVT(A)(4) ZIS-2,▃LVT(A)(4) (ZIS-2),LVT(A)(4) ZIS-2,LVT(A)(4) ЗІС-2,▃LVT(A)(4) ZIS-2,▃\tLVT(A)-4/ZiS-2,▃\tLVT(A)-4/ZiS-2,▃LVT(A)(4) (ZIS-2),,
us_t14,T14,T14,T14,T14,T14,T14,T14,T14,T14,T14,T14,T14,T14,T14,T14,T14,T14,T14,T14,T14 突\t击\t坦\t克,T14,,
us_m4a2_76w_sherman,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76)W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2(76)W Sherman,M4A2 (76) W,M4A2(76)W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2(76)W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2(76)W,M4A2(76)W\t“谢\t尔\t曼”,M4A2 (76) W,,
us_m4a2_76w_sherman_tutorial,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2(76)W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,M4A2 (76) W,,
us_m4a1_76w_sherman,M4A1 (76) W,M4A1 (76) W,M4A1 (76) W,M4A1 (76) W,M4A1 (76) W,M4A1 (76) W,M4A1 (76) W,M4A1(76)W Sherman,M4A1 (76) W,M4A1(76)W,M4A1 (76) W,M4A1 (76) W,M4A1 (76) W,M4A1 (76)W,M4A1(76)W,M4A1 (76) W,M4A1 (76) W,M4A1 (76) W,M4A1(76)W,M4A1(76)W\t“谢\t尔\t曼”,M4A1 (76) W,,
us_t20,T20,T20,T20,T20,T20,T20,T20,T20,T20,T20,T20,T20,T20,T20,T20,T20,T20,T20,T20,T20 中\t型\t坦\t克,T20,,
us_m4a2_sherman,M4A2,M4A2,M4A2,M4A2,M4A2,M4A2,M4A2,M4A2 Sherman,M4A2,M4A2,M4A2,M4A2,M4A2,M4A2,M4A2,M4A2,M4A2,M4A2,M4A2,M4A2\t“谢\t尔\t曼”,M4A2,,
us_m4a3_105_sherman,M4A3 (105),M4A3 (105),M4A3 (105),M4A3 (105),M4A3 (105),M4A3 (105),M4A3 (105),M4A3(105) Sherman,M4A3 (105),M4A3(105),M4A3 (105),M4A3 (105),M4A3 (105),M4A3 (105),M4A3(105),M4A3 (105),M4A3 (105),M4A3 (105),M4A3 (105),M4A3E9\t“谢\t尔\t曼”,M4A3 (105),,
us_m4a3e8_76w_sherman,M4A3 (76) W,M4A3 (76) W,M4A3E8 (76) W,M4A3 (76)W,M4A3 (76) W,M4A3 (76) W,M4A3 (76) W,M4A3(76)W Sherman,M4A3 (76) W,M4A3E8,M4A3 (76) W,M4A3 (76) W,M4A3 (76) W,M4A3 (76)W,M4A3(76)W,M4A3 (76) W,M4A3 (76) W,M4A3 (76) W,M4A3E8,M4A3(76)W HVSS “谢\t尔\t曼”,M4A3 (76) W,,
us_m4a2_1944,M4A2 (1944),M4A2 (1944),M4A2 (1944),M4A2 (1944),M4A2 (1944),M4A2 (1944),M4A2 (1944),M4A2E8 Sherman,M4A2 (1944),M4A2 1944 型,M4A2 シャーマン(1944),M4A2 (1944),M4A2 (1944),M4A2 (1944),M4A2 (1944),M4A2 (1944),M4A2 (1944 г.),M4A2 (1944),M4A2(1944),M4A2\t“谢\t尔\t曼”\t(1944),M4A2 (1944),,
us_m8a1,M8A1 GMC,M8A1 GMC,M8A1 GMC,M8A1 GMC,M8A1 GMC,M8A1 GMC,M8A1 GMC,M8A1 Scott,M8A1 GMC,M8A1,M8A1,M8A1 GMC,M8A1 GMC,M8A1,M8A1 GMC,M8A1,M8A1,M8A1,M8A1,M8A1 火\t炮\t运\t载\t车,M8A1 GMC,,
us_t28,T28,T28,T28,T28,T28,T28,T28,T28,T28,T28,T28,T28,T28,T28,T28,T28,T28,T28,T28,T28 超\t重\t型\t坦\t克,T28,,
us_t95,T95,T95,T95,T95,T95,T95,T95,T95,T95,T95,T95,T95,T95,T95,T95,T95,T95,T95 GMC,T95 ,T95 火\t炮\t运\t载\t车,T95,,
us_m44,M44,M44,M44,M44,M44,M44,M44,M44,M44,M44,M44,M44,M44,M44,M44,M44,M44,M44,M44,M44,M44,,
us_m36b2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,M36B2,,
us_m36,M36 GMC,M36 GMC,M36 Jackson,M36 GMC,M36 GMC,M36 GMC,M36 GMC,M36 Jackson,M36 GMC,M36,M36 対戦車自走砲,M36 GMC,M36 GMC,M36 GMC,M36,M36 GMC,M36 GMC,M36 GMC,M36 GMC,M36 火\t炮\t运\t载\t车,M36 GMC,,
us_m10,M10 GMC,M10 GMC,M10 Wolverine,M10 GMC,M10 GMC,M10 GMC,M10 GMC,M10 Wolverine,M10 GMC,M10,M10 対戦車自走砲,M10 GMC,M10 GMC,M10 GMC,M10 GMC,M10 GMC,M10 GMC,M10 GMC,M10 GMC,M10 火\t炮\t运\t载\t车,M10 GMC,,
us_m18_super_hellcat,Super Hellcat,Super Hellcat,M18 Super Hellcat,Super Hellcat,Super Hellcat,Super Hellcat,Super Hellcat,M18 Super Hellcat,Super Hellcat,M18 超\t级\t地\t狱\t猫,スーパーヘルキャット,Super Hellcat,Super Hellcat,Super Helket,Super Hellcat,슈퍼 헬캣,Super Hellcat,M18 Super Hellcat,M18\t“超\t級\t地\t獄\t貓”,M18\t“超\t级\t地\t狱\t猫”,Super Hellcat,,
us_m18_hellcat,M18 GMC,M18 GMC,M18 Hellcat,M18 GMC,M18 GMC,M18 GMC,M18 GMC,M18 Hellcat,M18 GMC,M18,M18 対戦車自走砲,M18 GMC,M18 GMC,M18 GMC,M18 GMC,M18 GMC,M18 GMC,M18 Hellcat,M18 GMC,M18\t“地\t狱\t猫”,M18 GMC,,
us_m18_hellcat_black_cat,"M18 ""Black Cat""",M18 “Black Cat”,"M18 ""Black Cat""",M18 «Black Cat»,M18 “Gato Negro”,"M18 ""Black Cat""",M18 „Black Cat”,"M18 Hellcat ""Black Cat""","M18 ""Black Cat""",M18 (“黑\t猫”\t号),"M18 ""ブラックキャット""",M18 “Black Cat”,M18 «Black Cat»,M18 “Crna Mačka”,M18 „Black Cat”,"M18 ""블랙캣""",M18 «Black Cat»,M18 Hellcat „Black Cat”,M18\t“地\t獄\t貓”\t（“黑\t貓”\t號）,M18\t“地\t狱\t猫”\t（“黑\t猫”\t号）,"M18 ""Black Cat""",,
us_m18_hellcat_black_cat_race,"""Racing"" M18",“Racing” M18,"M18 ""Racing""",«Racing» M18,M18 de competición,"M18 ""Гоночный""",M18 „Wyścigowy”,M18 Hellcat [závodní],"""Racing"" M18",M18 赛\t猫,"""レーシング"" M18",M18 “de corrida”,M18 «Перегоновий»,"""Racing"" M18",M18 versenyharckocsi,헬캣,M18 «Гоначны»,M18 „de curse”,"M18 ""\t賽\t貓\t""",“地\t狱\t猫”,"""Xe đua"" M18",,
us_halftrack_m3_75mm_gmc,M3 GMC,75mm M3 GMC,75mm M3 GMC,M3 GMC,M3 GMC,M3 GMC,M3 GMC,GMC M3,M3 GMC,M3 火\t炮\t运\t载\t车,M3 75mm\t対戦車自走砲,M3 GMC,M3 GMC,M3 GMC,M3 GMC,M3 GMC,75mm M3 GMC,M3 semișenilat,M3 GMC,M3 火\t炮\t运\t载\t车,M3 GMC,,
us_m46_patton_73_armor_bat,"M46 ""Tiger""",M46 “Tiger”,"M46 ""Tiger""",M46 «Tiger»,M46 ''Tigre'',"M46 ""Tiger""",M46 „Tiger”,M46 Patton [73. AB],"M46 ""Tiger""",M46 (第 73 坦\t克\t营),M46 «Tiger»,M46 “Tiger”,M46 «Tiger»,M46 “Tigar”,M46 „Tiger”,"M46 ""타이거""",M46 «Tiger»,M46 „Tiger”,M46\t（第 73 坦\t克\t营）,M46\t（第 73 坦\t克\t营）,"M46 ""Tiger""",,
us_amx_13_75,AMX-13,AMX-13,AMX-13,AMX-13,AMX-13,AMX-13,AMX-13,AMX-13,AMX-13,AMX 13,AMX-13,AMX-13,AMX-13,AMX-13,AMX-13,AMX-13,AMX-13,AMX-13,AMX-13,AMX-13,AMX-13,,
us_amx_13_90,AMX-13-90,AMX-13-90,AMX-13-90,AMX-13-90,AMX-13-90,AMX-13-90,AMX-13-90,AMX-13-90,AMX-13-90,AMX 13/90,AMX-13-90,AMX-13-90,AMX-13-90,AMX-13-90,AMX-13/90,AMX-13-90,AMX-13-90,AMX-13-90,AMX-13-90,AMX-13 90 型,AMX-13-90,,
ussr_rbt_5,RBT-5,RBT-5,RBT-5,RBT-5,RBT-5,РБТ-5,RBT-5,RBT-5,RBT-5,RBT-5,RBT-5,RBT-5,РБТ-5,RBT-5,RBT-5,RBT-5,РБТ-5,RBT-5,RBT-5,RBT-5,RBT-5,,
ussr_bt_5,BT-5,BT-5,BT-5 mod.1933,BT-5,BT-5,БТ-5,BT-5,BT-5 obr. 1933,BT-5,BT-5,BT-5,BT-5,БТ-5,BT-5,BT-5,BT-5,БТ-5,BT-5,BT-5,BT-5 1933 型,BT-5,,
ussr_bt_7_1937,BT-7,BT-7,BT-7 mod.1937,BT-7,BT-7,БТ-7,BT-7,BT-7 obr. 1937,BT-7,BT-7,BT-7 1937,BT-7,БТ-7,BT-7 1937,BT-7,BT-7 (1937),БТ-7,BT-7,BT-7 ,BT-7 1937 型,BT-7 1937,,
ussr_bt_7_1937_race,BT-7,BT-7,BT-7 mod.1937,BT-7,BT-7,БТ-7,BT-7,BT-7 obr. 1937,BT-7,BT-7,BT-7,BT-7,БТ-7,BT-7,BT-7,BT-7,БТ-7,BT-7,BT-7,BT-7 1937 型,BT-7,,
ussr_su_5_1,SU-5-1,SU-5-1,SU-5-1,SU-5-1,SU-5-1,СУ-5-1,SU-5-1,SU-5-1,SU-5-1,SU-5-1,SU-5-1,SU-5-1,СУ-5-1,SU-5-1,SzU-5-1,SU-5-1,СУ-5-1,SU-5-1,SU-5-1,SU-5-1,SU-5-1,,
ussr_zsu_29k,YaG-10 (29-K),YaG-10 (29-K),YaG-10 (29-K),29-К,YaG-10 (29-K),ЯГ-10 (29-К),JaG-10 (29-K),JAG-10 (29-K),YaG-10 (29-K),雅\t各\t-10/29-\tК ,YaG-10 (29-K),YaG-10 (29-K),ЯГ-10 (29-К),YaG-10 (29-K),JaG-10 (29-K),YaG-10 (29-K),29-К,YaG-10 (29-K),ZSU 29-\tК,ZSU 29-\tК,YaG-10 (29-K),,
ussr_zis_30,ZiS-30,ZiS-30,ZiS-30,ZiS-30,ZiS-30,ЗиС-30,ZIS-30,ZIS-30,ZiS-30,ZiS-30,ZiS-30,ZiS-30,ЗіС-30,ZiS-30,ZiS-30,ZiS-30,ЗІС-30,ZiS-30,ZiS-30,ZiS-30,ZiS-30,,
ussr_t_60_1941,T-60,T-60,T-60,T-60,T-60,Т-60,T-60,T-60,T-60,T-60,T-60,T-60,Т-60,T-60,T-60,T-60,Т-60,T-60,T-60,T-60,T-60,,
ussr_type_62,▂Type 62,▂Type 62,▂Tipo 62,▂Typ 62,▂Tipo 62,▂Type 62,▂Typ 62,▂ ZTQ62,▂Type 62,▂\tZTQ62,▂62式軽戦車,▂Type 62,▂Type 62,▂Tip 62,▂62-es típus,62식 전차,Type-62,▂Tip 62,▂\tZTQ62,▂\t62 式\t轻\t型\t坦\t克,▂Type 62,,
ussr_t_70_1942,T-70,T-70,T-70,T-70,T-70,Т-70,T-70,T-70,T-70,T-70,T-70,T-70,Т-70,T-70,T-70,T-70,Т-70,T-70,T-70,T-70,T-70,,
ussr_t_126sp,T-126,T-126,T-126,T-126,T-126,Т-126,T-126,T-126 SP,T-126,T-126 (SP),T-126,T-126,Т-126,T-126,T-126,T-126,Т-126,T-126,T-126,T-126 (SP),T-126,,
ussr_t_50_for_tutorial,T-50,T-50,T-50,Т-50,T-50,Т-50,T-50,T-50,T-50,T-50,T-50,T-50,Т-50,T-50,T-50,T-50,Т-50,T-50,T-50,T-50,T-50,,
ussr_pt_76b,PT-76B,PT-76B,PT-76B,PT-76B,PT-76B,ПТ-76Б,PT-76B,PT-76B,PT-76B,PT-76B,PT-76B,PT-76B,ПТ-76Б,PT-76B,PT-76B,PT-76B,ПТ-76Б,PT-76B,PT-76B,PT-76B,PT-76B,,
ussr_pt_76_57,PT-76-57,PT-76-57,PT-76-57,PT-76-57,PT-76-57,ПТ-76-57,PT-76-57,PT-76-57,PT-76-57,PT-76-57,PT-76-57,PT-76-57,ПТ-76-57,PT-76-57,PT-76-57,PT-76-57,ПТ-76-57,PT-76-57,PT-76-57,PT-76-57,PT-76-57,,
ussr_t_55_amd_1,T-55AMD-1,T-55AMD,T-55AMD-1,T-55AMD-1,T-55AMD-1,Т-55АМД-1,T-55AMD-1,T-55AMD-1,T-55AMD-1,T-55AMD-1,T-55AMD-1,T-55AMD-1,Т-55АМД-1,T-55AMD-1,T-55AMD-1,T-55AMD-1,Т-55АМД-1,T-55AMD-1,T-55AMD-1,T-55AMD-1,T-55AMD-1,,
ussr_to_55,TO-55,TO-55,TO-55,TO-55,TO-55,ТО-55,TO-55,TO-55,TO-55,TO-55,TO-55,TO-55,ТВ-55,TO-55,TO-55,TO-55,ТО-55,TO-55,TO-55,TO-55,TO-55,,
ussr_t_55_am,T-55AM-1,T-55AM-1,T-55AM-1,T-55AM-1,T-55AM-1,Т-55АМ-1,T-55AM-1,T-55AM-1,T-55AM-1,T-55AM-1,T-55AM-1,T-55AM-1,T-55AM-1,T-55AM-1,T-55AM-1,T-55AM-1,Т-55АМ-1,T-55AM-1,T-55AM-1,T-55AM-1,T-55AM-1,,
ussr_t_55a,T-55A,T-55A,Т-55А,Т-55А,T-55A,Т-55А,Т-55А,Т-55А,T-55A,Т\t-55\tА,T-55A,T-55A,Т-55А,T-55A,T-55A,T-55A,Т-55А,T-55A,Т\t-55\tА,T-55A,T-55A,,
ussr_t_50,T-50,T-50,T-50,T-50,T-50,Т-50,T-50,T-50,T-50,T-50,T-50,T-50,Т-50,T-50,T-50,T-50,Т-50,T-50,T-50,T-50,T-50,,
ussr_t_80,T-80,T-80,T-80,T-80,T-80,Т-80,T-80,T-80,T-80,T-80,T-80,T-80,Т-80,T-80,T-80,T-80,Т-80,T-80,T-80,T-80,T-80,,
ussr_t_26_4,T-26-4,T-26-4,T-26-4,Т-26-4,T-26-4,Т-26-4,T-26-4,T-26-4,T-26-4,T-26-4,T-26-4,T-26-4,Т-26-4,T-26-4,T-26-4,T-26-4,Т-26-4,T-26-4,T-26-4,T-26-4,T-26-4,,
ussr_t_26E,T-26E,T-26E,T-26E,T-26E,T-26E,Т-26Э,T-26E,T-26E,T-26E,T-26E,T-26E,T-26E,Т-26Е,T-26E,T-26E,T-26E,Т-26Э,T-26E,T-26E,T-26E,T-26E,,
ussr_t_26_1940_1st_GvTBr,T-26 (1st Gv.T.Br.),T-26 (1st Gv.T.Br.),T-26 (1^ Br.G.C.),T-26 (1. Gv.T.Br.),T-26 (1st Gv.T.Br.),Т-26 (1 Гв.Т.Бр.),T-26 1. GwBrP,T-26 obr. 1940 [1. GTB],T-26 (1st Gv.T.Br.),T-26 (近\t卫\t坦\t克\t第 1 旅),T-26（第\t1親衛戦車旅団）,T-26  (1ª Gv.T.Br.),Т-26 (1 Гв.Т.Бр.),T-26  (1st Gv.T.Br.),T-26 (1. gárda),T-26 (1 Gv.TBr),Т-26 (1-ая Гв.Т.Бр.),T-26 (B.T.G. 1),T-26\t（近\t衛\t坦\t克\t第 1 旅）,T-26\t（近\t卫\t坦\t克\t第 1 旅）,T-26 1st GvTBr,,
ussr_t_26_1940,T-26,T-26,T-26,Т-26,T-26,Т-26,T-26,T-26 obr. 1939,T-26,T-26,T-26,T-26,Т-26,T-26,T-26,T-26,Т-26,T-26,T-26 ,T-26 1939 型,T-26,,
ussr_t_28E,T-28E,T-28E,T-28E,T-28E,T-28E,Т-28Э,T-28E,T-28E,T-28E,T-28E,T-28E,T-28E,T-28E,T-28E,T-28E,T-28E,Т-28Э,T-28E,T-28E,T-28E,T-28E,,
ussr_t_28_1938,T-28 (1938),T-28 (1936),T-28 mod.1938,T-28 (1938),T-28 (1938),Т-28 (1938),T-28 (1938),T-28 (1938),T-28 (1938),T-28 1938 型,T-28 (1938),T-28 (1938),Т-28 (1938),T-28 (1938),T-28 (1938),T-28 (1938),Т-28 (1938),T-28 (1938),T-28 (1938),T-28\t（1938\t年\t样\t式）,T-28 (1938),,
ussr_t_28,T-28,T-28,T-28,T-28,T-28,Т-28,T-28,T-28,T-28,T-28,T-28,T-28,Т-28,T-28,T-28,T-28,Т-28,T-28,T-28,T-28,T-28,,
ussr_t_44_122,T-44-122,T-44-122,Т-44-122,Т-44-122,T-44-122,Т-44-122,Т-44-122,T-44-122,Т-44-122,Т\t-44-122,T-44-122,T-44-122,Т-44-122,T-44-122,T-44-122,T-44-122,Т-44-122,T-44-122,Т\t-44-122,T-44-122,T-44-122,,
ussr_t_44,T-44,T-44,T-44,T-44,T-44,Т-44,T-44,T-44,T-44,T-44,T-44,T-44,Т-44,T-44,T-44,T-44,Т-44,T-44,T-44,T-44,T-44,,
ussr_t_44_po,T-44 (FM),T-44 (1943),T-44 (FM),T-44 (FM),T-44 (FM),Т-44 (ПМ),T-44 (PW),T-44 (FM),T-44 (FM),T-44 早\t期\t型,T-44 (FM),T-44 (FM),T-44 (1943),T-44 (FM),T-44 (FM),T-44 (FM),Т-44 (ПМ),T-44 (FM),T-44 (FM),T-44 (FM),T-44 (FM),,
ussr_t_44_100,T-44-100,T-44-100,Т-44-100,Т-44-100,T-44-100,Т-44-100,Т-44-100,T-44-100,Т-44-100,T-44-100,T-44-100,T-44-100,Т-44-100,T-44-100,T-44-100,T-44-100,Т-44-100,T-44-100,T-44-100,T-44-100,T-44-100,,
ussr_t_54_1949,T-54 (1949),T-54 (1949),T-54 mod.1949,T-54 (1949),T-54 (1949),Т-54 (1949),T-54 (1949),T-54 obr. 1949,T-54 (1949),T-54 1949 型,T-54 1949年型,T-54 (1949),T-54 (1949),T-54 (1949),T-54 (1949),T-54 (1949),Т-54 1949 г.,T-54 (1949),T-54 (1949),T-54 1949 型,T-54 (1949),,
